Location,Number of Cows,Farm Size,Product Name,Brand,Price per Unit,Quantity (liters/kg),Total Value,Shelf Life (days),Storage Condition,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Kerala,40,Small,Butter,Amul,53.43,140.43,7503.1749,35,Frozen,128,52.59,6731.52,Tamil Nadu,Wholesale,12,92.03,100.15
Delhi,41,Large,Yogurt,Mother Dairy,49.02,590.83,28962.4866,26,Frozen,435,49.51,21536.85,Chandigarh,Online,155,22.19,58.33
Uttar Pradesh,20,Small,Ghee,Sudha,59.56,792.59,47206.6604,106,Ambient,726,60.52,43937.52,Uttar Pradesh,Retail,66,63.91,159.72
Delhi,48,Medium,Cheese,Passion Cheese,99.19,657.24,65191.6356,26,Frozen,631,100.45,63383.95,Jharkhand,Wholesale,26,26.28,65.48
Maharashtra,23,Medium,Yogurt,Palle2patnam,21.33,239.22,5102.5626,26,Frozen,104,24.84,2583.36,Madhya Pradesh,Online,135,57.51,118
Chandigarh,79,Medium,Ghee,Raj,32.55,768.63,25018.9065,125,Ambient,637,36.43,23205.91,Gujarat,Retail,131,53.81,27.1
Telangana,100,Large,Ice Cream,Amul,29.65,388.51,11519.3215,25,Frozen,198,26.72,5290.56,West Bengal,Retail,190,88.47,96.67
Bihar,32,Large,Buttermilk,Raj,32.39,397.33,12869.5187,9,Refrigerated,125,30.96,3870,Delhi,Online,272,70.81,160.15
Delhi,93,Large,Ice Cream,Dodla Dairy,72.6,34.61,2512.686,28,Frozen,24,73.86,1772.64,Bihar,Retail,10,33.25,188.85
Rajasthan,39,Small,Butter,Mother Dairy,13.18,168.98,2227.1564,28,Frozen,65,9.21,598.65,Telangana,Retail,103,58.78,65.12
Madhya Pradesh,61,Small,Cheese,Britannia Industries,36.46,37.63,1371.9898,40,Refrigerated,13,31.88,414.44,Tamil Nadu,Wholesale,24,93.62,75.96
Karnataka,33,Medium,Ghee,Mother Dairy,42.34,265.64,11247.1976,133,Ambient,47,38.48,1808.56,Karnataka,Wholesale,218,91.2,141.21
Karnataka,68,Large,Butter,Mother Dairy,92.62,43.8,4056.756,26,Refrigerated,9,95.32,857.88,Maharashtra,Retail,34,14.78,112.01
Chandigarh,75,Large,Curd,Mother Dairy,66.24,410.79,27210.7296,5,Refrigerated,54,63.97,3454.38,Madhya Pradesh,Retail,356,37.13,79.5
Haryana,93,Small,Lassi,Mother Dairy,50.66,678.13,34354.0658,13,Refrigerated,526,49.4,25984.4,West Bengal,Online,152,54.19,56.09
Rajasthan,48,Medium,Paneer,Mother Dairy,15.66,307.25,4811.535,11,Refrigerated,24,17.37,416.88,Madhya Pradesh,Online,283,93.72,87.63
Jharkhand,35,Small,Paneer,Sudha,98.36,131.11,12895.9796,9,Refrigerated,10,102.76,1027.6,Jharkhand,Wholesale,121,82.32,115.55
Bihar,26,Large,Buttermilk,Raj,77.24,792.68,61226.6032,10,Refrigerated,61,79.92,4875.12,Gujarat,Retail,731,86.7,174.64
Chandigarh,77,Small,Ice Cream,Mother Dairy,42.12,899.77,37898.3124,29,Frozen,509,43.16,21968.44,Delhi,Online,390,19.34,154.01
Maharashtra,55,Small,Milk,Raj,69.91,216.86,15160.6826,25,Tetra Pack,23,73.41,1688.43,Haryana,Online,193,30.08,46.07
Delhi,12,Medium,Lassi,Mother Dairy,75.29,875.58,65922.4182,18,Refrigerated,42,73.5,3087,Rajasthan,Retail,833,85.27,109.45
Delhi,34,Large,Paneer,Mother Dairy,84.02,602.68,50637.1736,12,Refrigerated,312,82.4,25708.8,West Bengal,Wholesale,290,21.1,189.21
Bihar,80,Medium,Curd,Mother Dairy,15.77,863.98,13624.9646,5,Refrigerated,105,15.86,1665.3,Bihar,Retail,758,91.52,138.76
Haryana,26,Large,Ghee,Sudha,39.28,434.35,17061.268,131,Ambient,75,39.66,2974.5,Kerala,Wholesale,359,23.38,162.88
Kerala,76,Large,Lassi,Amul,13.37,556.7,7443.079,17,Refrigerated,471,12.75,6005.25,Maharashtra,Online,85,98.61,167.4
Madhya Pradesh,60,Medium,Ghee,Raj,76.7,388.15,29771.105,115,Ambient,387,77.97,30174.39,Chandigarh,Retail,1,84.74,20.41
Delhi,70,Medium,Ghee,Raj,28.79,697.67,20085.9193,83,Ambient,186,28.39,5280.54,Madhya Pradesh,Online,511,65.1,28.95
Madhya Pradesh,99,Small,Paneer,Sudha,29.42,845.77,24882.5534,8,Refrigerated,672,25.45,17102.4,Chandigarh,Retail,173,11.32,160.13
Delhi,38,Large,Buttermilk,Mother Dairy,97.04,834.03,80934.2712,8,Refrigerated,85,98.75,8393.75,Tamil Nadu,Retail,749,72.61,73.56
Haryana,71,Small,Lassi,Amul,12.84,973.01,12493.4484,16,Refrigerated,286,11.32,3237.52,Maharashtra,Wholesale,687,92.96,155.11
Rajasthan,35,Large,Lassi,Mother Dairy,53.68,569.49,30570.2232,13,Refrigerated,204,56.13,11450.52,Maharashtra,Retail,365,33.86,89.13
Maharashtra,27,Medium,Milk,Amul,80.86,362.17,29285.0662,29,Tetra Pack,284,80.5,22862,Bihar,Wholesale,78,91.6,57.23
Delhi,32,Medium,Cheese,Dynamix Dairies,92.86,292.16,27129.9776,69,Refrigerated,177,88.29,15627.33,Haryana,Wholesale,115,87.91,27.03
Chandigarh,34,Large,Curd,Amul,78.94,287.82,22720.5108,7,Refrigerated,270,81.44,21988.8,West Bengal,Wholesale,17,49.81,104.34
Tamil Nadu,38,Large,Yogurt,Amul,51.29,78.61,4031.9069,25,Frozen,51,54.49,2778.99,Chandigarh,Retail,27,27.23,47.54
Madhya Pradesh,67,Small,Ice Cream,Mother Dairy,79.44,844.73,67105.3512,24,Frozen,766,82.88,63486.08,Chandigarh,Online,78,83.31,51.2
Chandigarh,74,Medium,Ghee,Amul,93.08,426.48,39696.7584,115,Ambient,324,92.73,30044.52,Karnataka,Online,102,71.3,96.39
Kerala,64,Small,Butter,Mother Dairy,17.04,39.13,666.7752,36,Frozen,12,12.58,150.96,Uttar Pradesh,Online,27,95.8,184.81
Chandigarh,14,Small,Buttermilk,Sudha,93.25,778.77,72620.3025,13,Refrigerated,728,95.65,69633.2,Kerala,Online,50,24.54,178.03
Maharashtra,75,Medium,Yogurt,Mother Dairy,78.1,530.22,41410.182,27,Refrigerated,301,73.22,22039.22,Gujarat,Wholesale,229,10.52,82.91
Haryana,40,Small,Paneer,Raj,39.71,371.6,14756.236,10,Refrigerated,165,36.83,6076.95,Maharashtra,Retail,206,72.62,113.54
Bihar,40,Medium,Buttermilk,Mother Dairy,24.68,479.54,11835.0472,13,Refrigerated,43,24.14,1038.02,Kerala,Online,436,45.92,61.95
Gujarat,45,Medium,Buttermilk,Mother Dairy,11.93,269.69,3217.4017,10,Refrigerated,77,15.44,1188.88,Delhi,Retail,192,99.38,139.81
Rajasthan,20,Small,Butter,Warana,46.38,53.34,2473.9092,25,Refrigerated,29,42.91,1244.39,Chandigarh,Online,24,74.38,158.42
Haryana,91,Small,Ice Cream,Mother Dairy,70.72,288.12,20375.8464,30,Frozen,63,71.88,4528.44,Chandigarh,Online,225,46.33,99.29
Rajasthan,55,Large,Buttermilk,Mother Dairy,52.36,102.05,5343.338,14,Refrigerated,16,50.56,808.96,West Bengal,Online,86,84.67,86.18
Tamil Nadu,24,Large,Milk,Amul,46.59,933.28,43481.5152,25,Tetra Pack,485,44.83,21742.55,Madhya Pradesh,Wholesale,448,82.71,174.08
Delhi,97,Large,Cheese,Passion Cheese,96.89,207.35,20090.1415,50,Frozen,67,97.48,6531.16,Gujarat,Wholesale,140,67.77,95.38
Jharkhand,12,Small,Cheese,Dynamix Dairies,61.66,387.24,23877.2184,51,Frozen,70,58.3,4081,Jharkhand,Wholesale,317,91.37,34.8
Delhi,18,Large,Milk,Mother Dairy,65.09,946.88,61632.4192,2,Polythene Packet,658,69.31,45605.98,Bihar,Wholesale,288,98.86,176.89
Chandigarh,78,Medium,Lassi,Mother Dairy,67.47,113.75,7674.7125,15,Refrigerated,42,67.63,2840.46,Rajasthan,Retail,71,42.03,98.04
Rajasthan,78,Medium,Ice Cream,Amul,50.34,648.17,32628.8778,26,Frozen,155,48.09,7453.95,Haryana,Retail,493,41.66,165.89
Maharashtra,62,Large,Butter,Mother Dairy,80.81,335.63,27122.2603,29,Frozen,241,84.86,20451.26,Karnataka,Online,94,61.29,37.98
Tamil Nadu,33,Large,Yogurt,Amul,72.01,335.77,24178.7977,25,Refrigerated,302,69.31,20931.62,Kerala,Retail,33,89.15,50.02
Haryana,39,Medium,Buttermilk,Sudha,24.08,140.5,3383.24,11,Refrigerated,1,27.5,27.5,West Bengal,Wholesale,139,16.12,132.94
Rajasthan,41,Large,Buttermilk,Amul,23.66,201.45,4766.307,14,Refrigerated,193,19.21,3707.53,Tamil Nadu,Online,8,55.15,171.51
Delhi,26,Medium,Butter,Parag Milk Foods,80.1,210.36,16849.836,38,Refrigerated,197,83.02,16354.94,Bihar,Retail,13,91.66,112.36
Delhi,74,Large,Lassi,Sudha,29.07,53.88,1566.2916,16,Refrigerated,6,29.66,177.96,Uttar Pradesh,Online,47,22.96,63.07
Bihar,22,Small,Paneer,Amul,50.15,4.71,236.2065,14,Refrigerated,2,54.01,108.02,Chandigarh,Wholesale,2,27.82,84.36
Tamil Nadu,100,Medium,Lassi,Raj,43.71,368.47,16105.8237,13,Refrigerated,36,40.43,1455.48,Haryana,Retail,332,65.83,114.41
Tamil Nadu,67,Large,Ice Cream,Palle2patnam,26.14,475.07,12418.3298,23,Frozen,218,28.05,6114.9,Haryana,Retail,257,63.98,115.99
Delhi,31,Large,Yogurt,Palle2patnam,80.55,251.73,20276.8515,24,Refrigerated,107,76.53,8188.71,Maharashtra,Retail,144,82.68,176.96
Bihar,86,Small,Yogurt,Dodla Dairy,69.41,836.24,58043.4184,23,Refrigerated,127,70.15,8909.05,Delhi,Online,709,76.7,80.23
Delhi,22,Small,Cheese,Amul,57.09,593.95,33908.6055,69,Refrigerated,71,52.51,3728.21,Bihar,Wholesale,522,60.71,50.52
Madhya Pradesh,86,Large,Butter,Warana,54.62,65.85,3596.727,36,Frozen,13,52.51,682.63,Tamil Nadu,Retail,52,50.7,30.87
Jharkhand,51,Medium,Buttermilk,Amul,68.4,868.06,59375.304,14,Refrigerated,494,70.12,34639.28,Jharkhand,Retail,374,77.61,79.24
Madhya Pradesh,20,Small,Lassi,Mother Dairy,68.23,59.17,4037.1691,14,Refrigerated,45,71.74,3228.3,Rajasthan,Wholesale,14,28.94,168.87
Tamil Nadu,11,Small,Ghee,Sudha,71.54,888.11,63535.3894,138,Ambient,353,68.14,24053.42,Kerala,Wholesale,535,37.75,147.07
Karnataka,28,Medium,Yogurt,Amul,32.46,148.85,4831.671,28,Frozen,138,33.61,4638.18,Uttar Pradesh,Wholesale,10,16.41,62.4
Maharashtra,71,Medium,Lassi,Amul,72.75,698.34,50804.235,15,Refrigerated,488,72.56,35409.28,Maharashtra,Retail,210,21.16,140.38
Gujarat,78,Large,Buttermilk,Mother Dairy,36.59,839.68,30723.8912,11,Refrigerated,301,40.62,12226.62,Bihar,Online,538,32.63,134.41
Karnataka,86,Large,Ghee,Sudha,17.43,615.81,10733.5683,143,Ambient,322,14.47,4659.34,Tamil Nadu,Wholesale,293,48.72,43.71
Uttar Pradesh,48,Large,Cheese,Amul,84.66,338.79,28681.9614,55,Frozen,32,83.14,2660.48,Delhi,Online,306,61.48,99.28
Delhi,21,Small,Cheese,Passion Cheese,14.47,100.26,1450.7622,88,Refrigerated,8,9.96,79.68,Telangana,Retail,92,83.87,25.47
Bihar,48,Medium,Ghee,Sudha,83.62,742.3,62071.126,104,Ambient,57,85.71,4885.47,Bihar,Wholesale,685,85.25,95.18
West Bengal,88,Small,Buttermilk,Mother Dairy,93.66,642.65,60190.599,12,Refrigerated,518,91.36,47324.48,Bihar,Wholesale,124,98.01,115.41
Telangana,44,Large,Curd,Sudha,38.34,845.79,32427.5886,6,Refrigerated,708,41.03,29049.24,West Bengal,Online,137,51.22,49.88
Karnataka,10,Medium,Butter,Mother Dairy,85.78,522.76,44842.3528,26,Refrigerated,424,81.71,34645.04,Maharashtra,Wholesale,98,74.49,75.63
Chandigarh,36,Large,Lassi,Mother Dairy,47.43,450.59,21371.4837,15,Refrigerated,8,44.5,356,Rajasthan,Wholesale,442,85.03,171.29
Telangana,22,Medium,Curd,Amul,49.56,695.02,34445.1912,7,Refrigerated,285,45.74,13035.9,Kerala,Retail,410,63.89,107.11
Tamil Nadu,57,Small,Curd,Sudha,91.21,775.56,70738.8276,6,Refrigerated,287,94.56,27138.72,Bihar,Retail,488,19.56,96.94
Madhya Pradesh,37,Medium,Butter,Warana,25.11,412.57,10359.6327,29,Frozen,304,27.85,8466.4,Uttar Pradesh,Retail,108,63.17,147.5
Chandigarh,34,Medium,Ice Cream,Mother Dairy,27.1,27.64,749.044,21,Frozen,21,28.69,602.49,Delhi,Wholesale,6,61.62,105.64
Chandigarh,77,Small,Buttermilk,Raj,92,87.89,8085.88,7,Refrigerated,45,94.57,4255.65,Tamil Nadu,Online,42,76.75,56.9
Gujarat,29,Large,Cheese,Dynamix Dairies,36.58,568.77,20805.6066,64,Frozen,397,34.52,13704.44,Maharashtra,Wholesale,171,12.2,86.74
Bihar,98,Medium,Milk,Amul,63.42,618.02,39194.8284,29,Tetra Pack,605,59.26,35852.3,Chandigarh,Wholesale,13,16.88,76.01
Delhi,74,Medium,Milk,Raj,52.41,866.01,45387.5841,29,Tetra Pack,625,54.67,34168.75,Kerala,Retail,241,51.26,76.41
Delhi,48,Small,Ghee,Mother Dairy,21.99,401.31,8824.8069,91,Ambient,96,26.04,2499.84,Tamil Nadu,Retail,305,68.57,108.75
Madhya Pradesh,75,Medium,Yogurt,Dodla Dairy,44.12,935.28,41264.5536,24,Frozen,443,46.39,20550.77,Madhya Pradesh,Online,492,93.32,150
Chandigarh,35,Large,Ice Cream,Mother Dairy,73.27,646.52,47370.5204,26,Frozen,636,69.79,44386.44,Chandigarh,Retail,10,35.47,92.49
Uttar Pradesh,70,Large,Ghee,Amul,11.32,300.72,3404.1504,65,Ambient,26,15.57,404.82,Jharkhand,Online,274,63.07,36.53
Rajasthan,68,Large,Paneer,Sudha,58.57,694.53,40678.6221,11,Refrigerated,310,57.7,17887,Chandigarh,Wholesale,384,10.69,163.04
Madhya Pradesh,67,Large,Buttermilk,Raj,88.87,615.92,54736.8104,11,Refrigerated,539,89.44,48208.16,Delhi,Online,76,41.25,165.98
West Bengal,25,Medium,Lassi,Mother Dairy,96.16,722.84,69508.2944,14,Refrigerated,211,92.15,19443.65,Telangana,Retail,511,25.24,121.07
Uttar Pradesh,35,Large,Butter,Mother Dairy,10.89,838.32,9129.3048,29,Frozen,163,13.1,2135.3,Chandigarh,Wholesale,675,14.99,30.8
Chandigarh,68,Medium,Yogurt,Mother Dairy,42.22,952.37,40209.0614,28,Frozen,849,45.82,38901.18,Telangana,Wholesale,103,16.17,88.23
Bihar,65,Medium,Buttermilk,Mother Dairy,86.24,516.61,44552.4464,7,Refrigerated,277,88.22,24436.94,Uttar Pradesh,Online,239,50.18,90.99
Chandigarh,39,Large,Buttermilk,Sudha,18.28,475.2,8686.656,8,Refrigerated,22,23.06,507.32,Gujarat,Wholesale,453,63.4,164.53
Delhi,28,Large,Lassi,Mother Dairy,39.35,822.04,32347.274,15,Refrigerated,258,38.59,9956.22,Karnataka,Online,564,69.75,186.54
Karnataka,63,Large,Paneer,Mother Dairy,16.08,563.42,9059.7936,11,Refrigerated,146,15.02,2192.92,Gujarat,Retail,417,56.22,176.79
Chandigarh,62,Medium,Paneer,Amul,60.51,656.11,39701.2161,14,Refrigerated,578,59.43,34350.54,Chandigarh,Retail,78,33.01,123.93
Jharkhand,32,Small,Yogurt,Mother Dairy,22.6,560.31,12663.006,29,Frozen,545,22.12,12055.4,Maharashtra,Wholesale,15,15.2,111.04
Haryana,67,Medium,Ice Cream,Dodla Dairy,65.38,67.1,4386.998,27,Frozen,18,64.04,1152.72,Bihar,Wholesale,49,15.05,167.46
Karnataka,36,Small,Milk,Raj,38.7,87.55,3388.185,1,Polythene Packet,77,34.09,2624.93,Delhi,Online,10,72.66,91.53
Uttar Pradesh,41,Large,Milk,Mother Dairy,77.2,820.49,63341.828,1,Polythene Packet,299,75.52,22580.48,West Bengal,Online,521,98.41,114.58
Telangana,59,Large,Cheese,Britannia Industries,81.66,916.96,74878.9536,31,Refrigerated,552,85.86,47394.72,Tamil Nadu,Wholesale,364,66.31,114.92
Karnataka,55,Large,Ghee,Sudha,37.06,189.68,7029.5408,100,Ambient,108,32.62,3522.96,Haryana,Online,81,76.86,45.97
Delhi,56,Medium,Ghee,Mother Dairy,30.69,657.18,20168.8542,136,Ambient,412,32.2,13266.4,Telangana,Retail,245,55.88,54.12
Karnataka,39,Large,Cheese,Britannia Industries,87.72,62.08,5445.6576,67,Refrigerated,6,89.33,535.98,Maharashtra,Retail,56,65.82,107.92
Chandigarh,77,Medium,Butter,Warana,46.33,919.93,42620.3569,40,Frozen,209,51.25,10711.25,Chandigarh,Online,710,45.8,147.21
Madhya Pradesh,83,Large,Ghee,Raj,23.64,739.51,17482.0164,66,Ambient,327,24.3,7946.1,Jharkhand,Wholesale,412,40.66,199.71
Karnataka,46,Large,Milk,Raj,55.16,668.48,36873.3568,28,Tetra Pack,359,50.52,18136.68,Chandigarh,Retail,309,13.47,116.52
Tamil Nadu,16,Large,Curd,Amul,37.16,503.15,18697.054,7,Refrigerated,485,33.24,16121.4,Chandigarh,Retail,18,66.94,128.5
Haryana,27,Small,Butter,Amul,17.92,266.12,4768.8704,32,Frozen,225,18.7,4207.5,Haryana,Retail,41,56.43,34.68
Jharkhand,86,Large,Lassi,Mother Dairy,40.98,12.85,526.593,16,Refrigerated,7,43.31,303.17,Madhya Pradesh,Online,5,32.89,163.33
Madhya Pradesh,83,Medium,Ice Cream,Dodla Dairy,30.55,170.78,5217.329,22,Frozen,89,28.1,2500.9,Bihar,Online,81,69.36,71.17
Uttar Pradesh,13,Medium,Cheese,Amul,58.8,229.37,13486.956,53,Refrigerated,150,60.94,9141,Maharashtra,Retail,79,56.67,191.43
Chandigarh,18,Small,Paneer,Raj,58.57,872.22,51085.9254,13,Refrigerated,278,62.19,17288.82,Haryana,Online,594,28.28,95.11
Maharashtra,43,Medium,Ice Cream,Mother Dairy,24.66,233.35,5754.411,29,Frozen,202,26.64,5381.28,Haryana,Wholesale,31,88.78,113.41
Rajasthan,21,Medium,Buttermilk,Mother Dairy,12.7,802.06,10186.162,8,Refrigerated,687,13.76,9453.12,Chandigarh,Retail,115,40.82,68.19
Tamil Nadu,22,Large,Buttermilk,Amul,95.16,591.36,56273.8176,13,Refrigerated,316,99.2,31347.2,Gujarat,Wholesale,275,11.25,45.47
Kerala,48,Medium,Milk,Raj,33.75,782.62,26413.425,1,Polythene Packet,326,29.93,9757.18,Tamil Nadu,Wholesale,456,39.16,61.82
Delhi,61,Medium,Curd,Raj,94.88,170.75,16200.76,5,Refrigerated,59,96.9,5717.1,Bihar,Wholesale,111,51.24,95.73
Bihar,21,Medium,Butter,Mother Dairy,78.27,196.55,15383.9685,35,Frozen,157,74.43,11685.51,Delhi,Wholesale,39,17.79,67.16
Gujarat,80,Medium,Butter,Amul,93.21,151.17,14090.5557,25,Refrigerated,112,96.44,10801.28,Bihar,Retail,39,12.52,164.22
Delhi,59,Medium,Paneer,Sudha,93.13,17.98,1674.4774,7,Refrigerated,7,92.39,646.73,Maharashtra,Retail,10,68.91,192.04
Chandigarh,52,Medium,Yogurt,Dodla Dairy,27.67,571.41,15810.9147,30,Refrigerated,267,28.44,7593.48,Karnataka,Online,304,33.59,174.05
Bihar,60,Small,Cheese,Amul,43.59,531.48,23167.2132,61,Frozen,342,42.04,14377.68,Haryana,Wholesale,189,40.27,161.47
Uttar Pradesh,41,Large,Milk,Raj,77.83,261.64,20363.4412,1,Polythene Packet,187,78.58,14694.46,Maharashtra,Online,74,85.28,104.99
Haryana,42,Small,Lassi,Amul,86.99,706.92,61494.9708,16,Refrigerated,122,88.32,10775.04,Delhi,Online,584,46.77,78.53
Delhi,17,Medium,Paneer,Sudha,23.8,417.44,9935.072,10,Refrigerated,203,25.54,5184.62,Tamil Nadu,Retail,214,94.2,147.37
Delhi,87,Large,Ghee,Sudha,88.75,326.74,28998.175,135,Ambient,138,86.24,11901.12,Karnataka,Wholesale,188,71.04,164.07
Karnataka,80,Small,Paneer,Mother Dairy,61.89,509.23,31516.2447,14,Refrigerated,373,66.35,24748.55,Delhi,Online,136,19.99,74.29
Delhi,20,Medium,Ice Cream,Palle2patnam,19.37,829.99,16076.9063,27,Frozen,48,21.21,1018.08,Bihar,Online,781,90.1,55.64
Jharkhand,51,Medium,Curd,Amul,29.51,349.63,10317.5813,7,Refrigerated,198,28.49,5641.02,Delhi,Online,151,30.3,124.96
Telangana,74,Medium,Butter,Amul,40.04,226.32,9061.8528,32,Refrigerated,84,38.89,3266.76,Rajasthan,Online,142,54.05,154.66
Bihar,72,Medium,Buttermilk,Mother Dairy,18.29,656.49,12007.2021,13,Refrigerated,459,19.72,9051.48,Karnataka,Retail,197,24.85,163.47
Karnataka,47,Large,Lassi,Sudha,91.92,537.89,49442.8488,13,Refrigerated,182,94.75,17244.5,Gujarat,Online,355,66.36,30.4
Telangana,93,Large,Yogurt,Amul,45.8,983.89,45062.162,27,Refrigerated,495,48.75,24131.25,Karnataka,Wholesale,488,26.95,195.32
Tamil Nadu,78,Small,Cheese,Passion Cheese,59.28,893.65,52975.572,37,Refrigerated,631,56.44,35613.64,Chandigarh,Retail,262,78.67,55.75
Chandigarh,97,Large,Ghee,Amul,33.46,838.5,28056.21,126,Ambient,332,38.23,12692.36,Telangana,Retail,506,21.65,119.9
Karnataka,89,Small,Ghee,Raj,16.06,210.68,3383.5208,145,Ambient,24,14.43,346.32,Rajasthan,Wholesale,186,41.46,139.08
Rajasthan,18,Medium,Butter,Warana,19.94,403.35,8042.799,38,Refrigerated,183,21.83,3994.89,Delhi,Online,220,68.73,102.13
Delhi,26,Large,Cheese,Britannia Industries,69.12,395.71,27351.4752,88,Frozen,193,65.84,12707.12,Rajasthan,Online,202,93.51,182.08
West Bengal,67,Small,Buttermilk,Mother Dairy,23.56,53.6,1262.816,7,Refrigerated,30,25.16,754.8,Haryana,Wholesale,23,15.16,158.72
Haryana,37,Medium,Lassi,Mother Dairy,65.4,925.96,60557.784,16,Refrigerated,397,61.18,24288.46,Gujarat,Wholesale,528,23.48,141.63
Uttar Pradesh,80,Medium,Cheese,Britannia Industries,43.21,326.65,14114.5465,70,Refrigerated,20,45.65,913,Rajasthan,Online,306,77.12,98.19
Chandigarh,24,Medium,Lassi,Sudha,33.02,721.45,23822.279,17,Refrigerated,651,37.04,24113.04,Uttar Pradesh,Online,70,23.03,20.45
Bihar,70,Small,Paneer,Sudha,87.32,248.69,21715.6108,13,Refrigerated,36,87.8,3160.8,Chandigarh,Retail,212,77.22,175.94
Uttar Pradesh,33,Large,Ice Cream,Palle2patnam,68.75,663.41,45609.4375,21,Frozen,114,72.55,8270.7,Maharashtra,Online,549,66.49,160.74
Tamil Nadu,63,Small,Cheese,Passion Cheese,41.2,395.78,16306.136,53,Frozen,82,44.9,3681.8,Madhya Pradesh,Retail,313,69.83,61.26
Karnataka,96,Large,Curd,Sudha,83.96,60.99,5120.7204,6,Refrigerated,20,81.7,1634,Tamil Nadu,Wholesale,40,18.29,83.66
Gujarat,11,Large,Curd,Raj,46.97,77.12,3622.3264,5,Refrigerated,26,49.18,1278.68,Chandigarh,Wholesale,51,68.81,54.23
Gujarat,24,Medium,Ghee,Sudha,59.73,186.77,11155.7721,74,Ambient,185,57.12,10567.2,Rajasthan,Wholesale,1,25.51,62.61
West Bengal,84,Medium,Ghee,Amul,38.38,84.83,3255.7754,126,Ambient,40,35.5,1420,Haryana,Retail,44,81.18,135.9
Karnataka,100,Large,Butter,Parag Milk Foods,88.62,726.93,64420.5366,35,Refrigerated,284,90.86,25804.24,Chandigarh,Wholesale,442,19.79,116.7
Rajasthan,78,Medium,Ice Cream,Dodla Dairy,39.95,658.95,26325.0525,21,Frozen,331,35.7,11816.7,Rajasthan,Online,327,92.74,91.5
Rajasthan,84,Small,Cheese,Britannia Industries,35.04,243.79,8542.4016,39,Refrigerated,13,37.59,488.67,West Bengal,Online,230,75.15,118.12
Chandigarh,87,Large,Yogurt,Dodla Dairy,49.79,875.97,43614.5463,22,Frozen,713,47.52,33881.76,Maharashtra,Retail,162,53.72,126.61
Madhya Pradesh,49,Small,Butter,Parag Milk Foods,13.18,546.72,7205.7696,26,Frozen,141,15.51,2186.91,Chandigarh,Retail,405,51.21,174.63
Haryana,18,Small,Butter,Amul,23.02,188.05,4328.911,28,Frozen,57,21.18,1207.26,Tamil Nadu,Wholesale,131,46.7,173.41
Madhya Pradesh,65,Medium,Paneer,Sudha,66.96,114.24,7649.5104,12,Refrigerated,3,63.9,191.7,Rajasthan,Retail,111,34.93,84.32
Kerala,51,Medium,Butter,Warana,33.81,954.95,32286.8595,35,Frozen,409,33.31,13623.79,Uttar Pradesh,Wholesale,545,66.93,40.36
Chandigarh,63,Large,Paneer,Sudha,69.49,544,37802.56,12,Refrigerated,426,67.93,28938.18,Gujarat,Wholesale,118,31.94,173.21
West Bengal,77,Small,Paneer,Amul,87.37,798.14,69733.4918,9,Refrigerated,604,83.96,50711.84,Haryana,Wholesale,194,23.34,64.25
Tamil Nadu,83,Small,Lassi,Sudha,97.62,366.6,35787.492,15,Refrigerated,196,97.48,19106.08,Maharashtra,Online,170,39.89,84.37
West Bengal,91,Small,Butter,Mother Dairy,89.3,415.89,37138.977,26,Refrigerated,246,86.1,21180.6,Maharashtra,Online,169,91.1,104.54
Chandigarh,42,Medium,Paneer,Sudha,11.39,504.71,5748.6469,13,Refrigerated,178,10.99,1956.22,Maharashtra,Wholesale,326,45.68,153.39
Chandigarh,60,Large,Milk,Raj,61.66,685.59,42273.4794,2,Polythene Packet,121,57.6,6969.6,Delhi,Retail,564,34.07,143.13
Chandigarh,17,Small,Butter,Warana,53.25,851.39,45336.5175,26,Frozen,650,57.2,37180,Karnataka,Wholesale,201,15.53,178.11
Haryana,64,Large,Cheese,Passion Cheese,16.23,966.23,15681.9129,53,Refrigerated,934,14.84,13860.56,West Bengal,Online,32,17.16,179.41
Chandigarh,20,Medium,Lassi,Mother Dairy,71.15,841.76,59891.224,18,Refrigerated,497,73.12,36340.64,Telangana,Retail,344,56.46,21.74
Madhya Pradesh,86,Small,Lassi,Sudha,80.52,273.71,22039.1292,13,Refrigerated,269,76.62,20610.78,Jharkhand,Wholesale,4,21.83,39.33
Maharashtra,95,Medium,Curd,Amul,79.7,776.89,61918.133,7,Refrigerated,346,78.51,27164.46,West Bengal,Retail,430,95.84,110.44
West Bengal,24,Small,Yogurt,Palle2patnam,90.32,730.59,65986.8888,27,Refrigerated,220,89.5,19690,Bihar,Retail,510,45.39,23.12
Delhi,25,Small,Yogurt,Palle2patnam,60.85,41.58,2530.143,23,Refrigerated,36,57.9,2084.4,Maharashtra,Online,5,89.53,85.04
Gujarat,26,Large,Curd,Amul,46.25,593.57,27452.6125,6,Refrigerated,54,50.4,2721.6,Uttar Pradesh,Online,539,53.4,160.3
Bihar,73,Medium,Buttermilk,Amul,22.44,12.34,276.9096,12,Refrigerated,4,25.46,101.84,Gujarat,Retail,8,74.48,36.14
Telangana,22,Large,Lassi,Mother Dairy,54.71,642.22,35135.8562,16,Refrigerated,73,57.23,4177.79,Telangana,Retail,569,20.8,37.93
